Delta,Theta,Alpha,Beta,Mean,StdDev,Variance,Kurtosis,Skewness,SEF95,KComplexCount,SpindleCount,SleepStage,Subject,DataType
304.526389783731,19.2421346687679,22.6367072860898,306.265446521587,0.507145982913503,28.5229551143045,813.558968452629,48.7590818583535,3.03406516494946,28.80859375,6,29,Wake,S1,EEG_Features
161.193047048661,16.5057367156752,46.1560771327962,136.9299806755,0.424779089692157,31.1084423294384,967.735184163997,79.3171603610175,-1.96183259772493,28.564453125,5,33,Wake,S1,EEG_Features
80.8714640934415,14.8583359509779,10.6064543643987,175.079479267986,0.00638090475880588,21.8211504347722,476.16260629696,11.6816635237908,-0.303249944221277,28.80859375,3,39,Wake,S1,EEG_Features
247.775510773056,31.1547191844167,57.8604070073144,375.998026666381,0.692856206007543,47.1103378906025,2219.38393616674,246.537452435935,7.54745131272661,29.1748046875,9,12,Wake,S1,EEG_Features
119.199181546692,10.3406678646953,9.61062451000351,134.63382448326,-0.466443865119294,27.3918781853262,750.314990519749,263.707693106088,-8.67999436466831,29.296875,7,10,Wake,S1,EEG_Features
169.195391806099,20.5617644197921,28.4080379914294,129.500408907945,0.0828309336871896,17.8374575072122,318.174890321602,27.2516110698421,1.28004152036069,27.9541015625,7,45,Wake,S1,EEG_Features
71.9687473829665,10.3402003272124,16.9794870328382,170.839437673687,-0.232516179758799,20.2220072175752,408.929575907664,33.743161661636,-1.94272834739152,29.4189453125,10,60,N1,S1,EEG_Features
32.1634140553614,12.1491681779769,6.07686460367095,18.7449383774868,-0.0369522804727786,10.4213389348792,108.604305195629,20.4854922646386,-1.0669592800862,26.0009765625,10,64,N2,S1,EEG_Features
186.434054654751,54.7723343932535,16.9369566837269,16.7024886452392,0.109051464795287,14.4692737585869,209.359883100932,22.2686463579791,1.34612524023805,14.0380859375,4,41,N2,S1,EEG_Features
136.039364603274,29.9827349375145,7.76919073466757,13.6215036329662,0.225086031558123,20.1772606683174,407.12184807723,78.5392623817642,3.95567291824062,12.5732421875,6,16,N2,S1,EEG_Features
290.003865627334,24.235617244385,15.05778880683,17.6776327332039,0.288183243645467,21.7097617898246,471.313756970926,25.7307306202409,1.60499099139671,13.427734375,4,33,Wake,S1,EEG_Features
199.426597268635,36.3573010057114,44.9899267247312,159.858201533922,0.243053030195769,24.9414997221167,622.078408388349,20.8539192225995,0.891695764811454,27.099609375,6,38,N1,S1,EEG_Features
35.8137607040269,10.7562852818841,7.20788109161328,24.0836418462198,-0.0145127839229362,13.9821025651642,195.499192142771,101.988850846869,3.69289886164848,27.4658203125,7,32,N2,S1,EEG_Features
98.7636597344288,20.1793846868889,12.1216221241586,17.2986669766833,-0.377490535864211,15.6516965486985,244.97560485254,63.3038966348944,-3.52027762848927,17.9443359375,4,35,N2,S1,EEG_Features
197.519436989987,30.1610535395592,12.8303744707013,18.8901338213454,0.167858425266944,15.5501313060893,241.806583636617,6.52943417852481,0.694390413323178,13.427734375,7,44,N2,S1,EEG_Features
124.963660901067,23.2361763936311,12.3824123719176,15.2609674714349,-0.268575371138626,15.3706212360642,236.255997182549,15.7435280860511,-0.47438030660353,13.916015625,9,42,N2,S1,EEG_Features
110.249752576603,30.8569716372591,17.9432123564056,12.7705478559658,-0.0504507927863117,16.0101039785917,256.323429405316,4.80504811056769,0.278782083457118,13.5498046875,6,31,N2,S1,EEG_Features
229.523093046268,31.1817489725919,35.4287898434179,19.0180767423601,-0.185128724321578,19.8161611023646,392.680240834868,51.0047094136032,-2.19676449355405,12.939453125,3,16,N2,S1,EEG_Features
136.813205081345,34.2009907045788,13.2727929524268,14.3922778978157,0.484093149174307,19.2391331090087,370.144242786153,66.7566611488413,3.94962852364865,14.16015625,6,19,N2,S1,EEG_Features
268.742635005994,53.2300283142722,39.0838079601053,31.2155895517765,0.251686552224343,23.1471858459487,535.792212586887,91.2101413803503,4.15329360293953,13.0615234375,9,21,N2,S1,EEG_Features
158.449321563512,30.9216956998125,18.1276696121034,16.2517543350661,-0.119687825521321,24.4800498779565,599.27284202724,94.3382334395473,1.37050226005346,12.939453125,5,12,N2,S1,EEG_Features
226.218563943844,35.7221670010399,38.6133481677194,18.8839105705939,0.299557076723682,20.3015938702715,412.154713673447,20.7980655976417,1.38752698510619,12.6953125,8,16,N3,S1,EEG_Features
182.465012451084,27.3067705654612,21.5590057983231,17.2178049699103,0.0614232779623727,18.0117828004812,324.424319651712,4.61119741812414,0.587892478819699,12.451171875,6,24,N3,S1,EEG_Features
411.949726448977,35.7899799639284,29.3224537492333,19.8341012510398,-0.765002743389756,30.5588033435022,933.84046178684,90.6369319489208,-4.2648500409061,11.5966796875,6,9,N3,S1,EEG_Features
215.295538359222,27.235596924698,19.2565720291132,15.3044265121802,-0.268883968769595,16.9067549733713,285.838363729617,9.05956031937036,-0.400575297776304,12.20703125,6,43,N3,S1,EEG_Features
260.780126773193,41.9134841303894,18.3698306254026,18.3596391695518,-0.522532791356561,25.092808713285,629.649049121509,64.6481487521129,-3.49389758899876,12.20703125,8,19,N2,S1,EEG_Features
